Sample Rate, Samples
100K,1022976
Sample Number,Channnel_0,Channel_1,Channnel_2,Channnel_3,Channel_4,Channnel_5,Channnel_6,Channel_7,Channnel_8,Channnel_9,Channel_10,Channnel_11,Channnel_12,Channel_13,Channnel_14,Channnel_15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149227,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156076,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162925,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169774,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176623,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183472,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190321,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197170,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206406,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208586,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210869,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215435,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217718,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220105,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224567,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231416,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238265,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240653,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242832,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245114,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249681,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251964,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256530,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258813,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261199,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265662,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272511,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279360,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290672,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297521,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304370,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
